movie_id,title,release_year,budget,revenue,vote_average,collection_id
1412963,NYC Street Scenes and Noises,1929,0,0,0.0,
1411825,Goodbye My Lady Love,1929,0,0,0.0,
1411820,Ko-Ko's Knock Down,1929,0,0,0.0,
1411818,Ko-Ko's Saxaphonies,1929,6,0,0.0,
1411816,Ko-Ko's Signals,1929,0,0,0.0,
1411814,"Mother, Mother, Mother Pin a Rose on Me",1929,0,0,0.0,
1411812,My Pony Boy,1929,0,0,0.0,
166307,Tom Sawyer,1930,0,11000000,5.5,
22301,Hell's Angels,1930,3950000,8000000,6.4,
262972,Ingagi,1930,0,4000000,4.1,
143,All Quiet on the Western Front,1930,1448864,3270000,7.764,1070848.0
166658,Son of the Gods,1930,436000,1432000,5.5,
156320,Our Blushing Brides,1930,337000,1211000,5.9,981517.0
130816,Abraham Lincoln,1930,0,400000,5.4,
271840,The Runaway Bride,1930,103000,204000,5.0,
1417844,Cinderella,1930,0,0,0.0,
1414691,Vahva sõdur Joosep Toots,1930,0,0,0.0,
1405369,Fra sneblokaden på høifjeldet,1930,0,0,0.0,
1386046,The Artist - A Camera Interview with the Famous French Painter Gustave Brisgand,1930,0,0,0.0,
1386043,Sir Hubert Wilkins Describes His Recent Antarctic Expedition,1930,0,0,0.0,
1386029,Otto Gray and His Oklahoma Cowboys,1930,0,0,0.0,
1386025,'Oppin,1930,0,0,0.0,
1386014,John the Bull,1930,0,0,0.0,
1386010,Fowler Studio Varieties,1930,0,0,0.0,
1386006,Coolidges Greet Mr Santa Claus,1930,0,0,0.0,
1386002,California the Golden,1930,0,0,0.0,
1385998,Behind the Cup,1930,0,0,0.0,
1361766,Good Morning Sheriff,1930,0,0,0.0,
1355053,Their Wives' Vacation,1930,0,0,0.0,
1327837,The Voice of Hollywood,1930,0,0,0.0,
1317047,Darktown Follies,1930,0,0,0.0,
1316176,Radiomanía,1930,0,0,0.0,
3035,Frankenstein,1931,291000,12000000,7.5,218406.0
901,City Lights,1931,1500000,4250000,8.3,
84296,Trader Horn,1931,1300000,4200000,5.3,
35545,Mata Hari,1931,558000,2227000,6.2,
42816,The Champ,1931,356000,1600000,7.1,
52239,Possessed,1931,0,1522000,7.1,
42861,Cimarron,1931,1433000,1383000,5.6,
3019,Dr. Jekyll and Mr. Hyde,1931,535000,1300000,7.3,
84299,Bad Girl,1931,100000,1100000,5.9,
42669,Five Star Final,1931,310000,822000,6.592,
27899,Little Caesar,1931,281000,752000,6.9,
138,Dracula,1931,355000,700000,7.2,221539.0
17687,The Public Enemy,1931,151000,557000,7.244,
